,연도,분기,버스정류장,00~06_승하차_승객수,06~11_승하차_승객수,11~14_승하차_승객수,14~17_승하차_승객수,17~21_승하차_승객수,21~24_승하차_승객수
97,2020,2,23125,3267,50112,20860,24523,47490,15540
98,2020,3,23125,3307,50937,21217,25024,49574,15777
99,2020,4,23125,2884,47072,18966,23669,44100,14063
100,2020,1,23126,4457,21343,15633,19633,32699,18722
101,2020,2,23126,4182,21244,15713,19651,33637,18117
102,2020,3,23126,4317,21412,16501,20606,34665,18812
103,2020,4,23126,3831,20394,15015,19221,31927,17348
104,2020,1,23127,3212,20855,15798,24404,80878,30099
105,2020,2,23127,2793,19942,15626,24990,79347,28017
106,2020,3,23127,2756,20256,16273,25808,82467,27595
107,2020,4,23127,2188,19790,15525,25316,78912,25414
108,2020,1,23128,1900,37211,11255,12212,16859,6455
109,2020,2,23128,1798,32805,10544,11971,15280,6278
110,2020,3,23128,1935,36644,10675,12307,15498,6311
111,2020,4,23128,1854,32770,9326,10806,13450,5361
112,2020,1,23129,696,20547,7451,8181,11844,3588
113,2020,2,23129,618,18426,6894,8113,10428,3264
114,2020,3,23129,635,19375,6736,8219,10794,3198
115,2020,4,23129,617,17913,5993,7260,8967,2696
116,2020,1,23130,455,5101,3014,4334,7206,3085
117,2020,2,23130,494,4811,2609,4006,6395,3083
118,2020,3,23130,471,5090,2682,3910,6030,3068
119,2020,4,23130,408,5044,2610,3727,5651,2744
120,2020,1,23131,1995,10393,3974,4208,6495,1796
121,2020,2,23131,1967,9644,3620,4332,6168,1894
122,2020,3,23131,1972,10119,3831,4157,6758,1720
123,2020,4,23131,1928,9756,3862,4505,6023,1551
124,2020,1,23132,2078,114557,29652,33103,80683,23018
125,2020,2,23132,1683,107614,27704,32366,76849,21349
126,2020,3,23132,1873,112636,28157,32483,75835,21434
127,2020,4,23132,1754,104281,26536,31970,72363,19436
128,2020,1,23133,2011,57874,16261,17107,29686,8934
129,2020,2,23133,2052,54105,14960,16535,27699,8684
130,2020,3,23133,2082,56096,15459,16729,28645,9079
131,2020,4,23133,1641,51715,14854,15749,26606,7977
132,2020,1,23134,1011,19645,9252,12384,22956,6657
133,2020,2,23134,1532,18133,8724,11579,20752,6261
134,2020,3,23134,1257,18277,8685,11271,21921,6428
135,2020,4,23134,1144,16398,7911,10893,18924,5441
136,2020,1,23135,1067,10287,7412,10006,17967,6095
137,2020,2,23135,1426,9457,7531,9671,17018,5676
138,2020,3,23135,1230,9849,7203,9819,18410,6057
139,2020,4,23135,945,8589,6698,8742,16383,5147
140,2020,1,23136,1403,15861,7683,9283,15353,6560
141,2020,2,23136,1273,14570,7283,10074,14621,6498
142,2020,3,23136,1223,15182,7969,10471,14796,6768
143,2020,4,23136,1111,14019,7385,9903,13442,6080
144,2020,1,23137,576,16307,4668,4882,7986,3356
145,2020,2,23137,758,15433,4585,5108,7715,3456
146,2020,3,23137,819,17574,4770,5327,8124,3650
147,2020,4,23137,628,16346,4062,5047,7237,3199
148,2020,1,23138,1057,9380,4169,4993,8766,3797
149,2020,2,23138,1178,9456,4329,5243,8085,3829
150,2020,3,23138,1177,10815,4312,5284,8730,3987
151,2020,4,23138,979,9397,3993,4787,7858,3692
152,2020,1,23139,943,17775,7479,9809,16773,6563
153,2020,2,23139,845,18307,7194,9506,15699,6650
154,2020,3,23139,1081,20455,7833,10300,17129,7500
155,2020,4,23139,750,20132,7962,9825,15278,7045
156,2020,1,23140,667,7607,3885,5296,14076,4120
157,2020,2,23140,647,7167,3671,5002,12966,3773
158,2020,3,23140,609,7735,3730,5006,13549,4346
159,2020,4,23140,514,6808,3770,4932,12402,3946
160,2020,1,23141,4263,32393,8400,8960,14909,5138
161,2020,2,23141,4045,30356,7778,8992,13708,5031
162,2020,3,23141,4563,32838,8371,9505,14879,5198
163,2020,4,23141,4123,30110,7936,9285,13502,4936
164,2020,1,23142,2699,18359,5868,6869,12242,3175
165,2020,2,23142,2628,17709,5765,6918,11794,3405
166,2020,3,23142,2560,18746,6283,7363,12882,3700
167,2020,4,23142,2701,17072,6012,7633,11924,3719
168,2020,1,23143,632,4053,1706,2081,4280,1250
169,2020,2,23143,386,3811,1692,2169,3740,1369
170,2020,3,23143,296,4238,1858,2436,3881,1352
171,2020,4,23143,290,3854,1585,2116,3248,1229
172,2020,1,23144,613,2971,2053,2663,4633,1642
173,2020,2,23144,454,2824,2071,2889,4336,1473
174,2020,3,23144,515,3066,2053,2975,4521,1491
175,2020,4,23144,505,2608,1953,2454,3482,1177
176,2020,1,23145,1492,41722,13726,15271,30967,11269
177,2020,2,23145,1256,41676,13194,15418,29128,10489
178,2020,3,23145,1247,44836,13781,15334,29906,10490
179,2020,4,23145,1270,42041,13410,14511,28304,9880
180,2020,1,23146,2201,30107,10981,13125,28902,9633
181,2020,2,23146,1618,29255,10476,13266,27107,8021
182,2020,3,23146,1626,31728,10951,13431,27628,7947
183,2020,4,23146,1611,29446,10592,12441,25966,7497
184,2020,1,23147,377,4667,3137,4723,7749,2974
185,2020,2,23147,478,4423,3207,4660,7258,2764
186,2020,3,23147,529,4527,3142,4886,7530,2705
187,2020,4,23147,446,3978,2708,4322,6108,2420
188,2020,1,23148,13368,79063,53647,64079,109433,34685
189,2020,2,23148,13548,76090,52606,66468,108238,35913
190,2020,3,23148,13648,77720,53419,69396,108905,35946
191,2020,4,23148,12653,74061,51142,67754,99466,31805
192,2020,1,23149,15049,138674,64038,72519,105156,41029
193,2020,2,23149,16505,138819,62357,75632,103801,40415
194,2020,3,23149,16622,141755,64086,73567,102767,40046
195,2020,4,23149,15027,134537,60825,72633,95582,34427
196,2020,1,23150,2370,30855,8726,8366,15368,4627
197,2020,2,23150,2730,39830,11792,11548,21532,6625
198,2020,3,23150,3592,71061,23141,23573,38746,11611
199,2020,4,23150,3251,63316,19994,20095,33473,9634
200,2020,1,23151,2744,22799,15362,20010,38113,12205
201,2020,2,23151,2601,21156,15045,19514,37228,11792
202,2020,3,23151,2549,20656,15593,19807,38677,12877
203,2020,4,23151,2087,19239,14099,18343,35283,11421
204,2020,1,23152,2814,11445,4901,5736,11606,3675
205,2020,2,23152,2706,11478,5182,5467,12134,3998
206,2020,3,23152,2788,11086,4930,5544,12643,4185
207,2020,4,23152,2646,10558,4792,5484,12772,3511
208,2020,1,23153,1817,13830,7173,7611,11229,3786
209,2020,2,23153,1916,14385,7519,8103,11786,4163
210,2020,3,23153,1987,14403,7286,7867,12646,4194
211,2020,4,23153,2033,13736,6831,7453,11023,3206
212,2020,1,23154,6537,21829,8558,7817,9417,3246
213,2020,2,23154,7025,21808,9023,8774,9766,3646
214,2020,3,23154,7138,21857,8673,8162,9748,3477
215,2020,4,23154,6353,20434,8670,8321,8952,3183
216,2020,1,23155,3122,43232,16034,20777,46580,15099
217,2020,2,23155,3051,42228,15616,20278,44049,14196
218,2020,3,23155,2847,43751,15699,20606,45461,14529
219,2020,4,23155,2576,40660,14657,19588,40858,13540
220,2020,1,23156,5205,57799,29163,37713,60302,23176
221,2020,2,23156,5094,54770,28137,37790,59254,24870
222,2020,3,23156,5430,56126,29141,37827,58764,25113
223,2020,4,23156,5068,53524,28380,36593,53069,22899
224,2020,1,23157,20499,74512,39236,44728,72241,25391
225,2020,2,23157,20426,74475,39948,46321,73589,26979
226,2020,3,23157,20123,75262,41089,45736,73201,26930
227,2020,4,23157,18600,69454,39403,44405,66249,24227
