연도,분기,상권_코드,점포수,시간대_00~06_매출_금액_평균,시간대_06~11_매출_금액_평균,시간대_11~14_매출_금액_평균,시간대_14~17_매출_금액_평균,시간대_17~21_매출_금액_평균,시간대_21~24_매출_금액_평균,총 상주인구 수,총 가구 수,아파트 가구 수,비아파트 가구 수,총_직장인구_수,아파트_단지_수,아파트_가격_1_억_미만_세대_수,아파트_가격_1_억_세대_수,아파트_가격_2_억_세대_수,아파트_가격_3_억_세대_수,아파트_가격_4_억_세대_수,아파트_가격_5_억_세대_수,아파트_가격_6_억_이상_세대_수,총_생활인구_수,시간대_1_생활인구_수,시간대_2_생활인구_수,시간대_3_생활인구_수,시간대_4_생활인구_수,시간대_5_생활인구_수,시간대_6_생활인구_수,월요일_생활인구_수,화요일_생활인구_수,수요일_생활인구_수,목요일_생활인구_수,금요일_생활인구_수,토요일_생활인구_수,일요일_생활인구_수,엑스좌표_값,와이좌표_값,시군구_코드,상권_중앙위경도_값,00~06시_버스,06~11시_버스,11~14시_버스,14~17시_버스,17~21시_버스,21~24시_버스,00~06시_지하철,06~11시_지하철,11~14시_지하철,14~17시_지하철,17~21시_지하철,21~24시_지하철,포함된_버정_수,포함된_역_수
2021,2,2110957,6,182187.61904761905,224731.89743589744,209904.60256410256,208344.60073260075,300203.0128205128,364845.0531135531,1761.0,1088.0,0.0,1088.0,1251.0,50.0,1.0,120.0,168.0,116.0,24.0,54.0,46.0,965994,183107,206562,168623,162308,156513,88883,153619,157603,147577,158263,153016,103110,92804,202799,446480,11680,"37.51779849799859, 127.03166130118623",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
2021,2,2110958,3,104579.07326007326,221628.52380952385,205143.0732600733,161343.24175824175,226294.7619047619,187425.8571428572,861.0,544.0,0.0,544.0,994.0,29.0,4.0,151.0,61.0,24.0,8.0,16.0,26.0,395781,57111,83507,75103,75682,71365,33011,64606,65536,60810,65110,63613,42117,33990,202861,444863,11680,"37.5032290671925, 127.03235633361939",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
2021,2,2110959,3,42445.21978021978,97838.43589743588,85766.72893772893,68717.73626373627,165375.38827838827,103792.84249084248,361.0,170.0,0.0,170.0,271.0,2.0,0.0,0.0,0.0,0.0,0.0,3.0,79.0,125358,20189,24188,21710,22720,25013,11542,18643,19173,18423,19154,19246,16408,14310,202862,447325,11680,"37.525411777447985, 127.03237722460005",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
2021,2,2110960,3,101854.15750915752,209320.1465201465,144241.4835164835,168108.21245421245,292878.83150183153,283337.978021978,727.0,422.0,0.0,422.0,1522.0,16.0,21.0,106.0,42.0,8.0,21.0,7.0,34.0,116139,31520,27673,15561,13922,15380,12083,17112,17331,16946,17279,17126,14969,15379,203014,443099,11680,"37.48733482260059, 127.03407945616239",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
2021,2,2110961,9,66166.83028083028,97666.20757020757,148576.31746031746,134526.221001221,214933.9987789988,165572.64835164836,2163.0,1335.0,0.0,1335.0,962.0,56.0,0.0,231.0,194.0,84.0,53.0,12.0,94.0,1320359,262460,279473,202343,202350,229175,144558,197444,201062,196971,207668,198256,163733,155226,203036,445734,11680,"37.511076260927844, 127.03433908142084",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
2021,2,2110963,3,50545.01831501832,101703.7326007326,113038.4065934066,84184.89743589744,152785.2673992674,116875.65934065936,1684.0,860.0,0.0,860.0,780.0,45.0,3.0,173.0,147.0,100.0,27.0,13.0,133.0,339601,97468,72021,40682,38533,47685,43212,50987,50227,49580,50891,49564,43824,44528,203260,443659,11680,"37.49237962946542, 127.03686347002896",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
2021,2,2110965,3,109748.02197802198,109836.63003663004,84726.85714285714,141955.2673992674,251538.652014652,222483.82051282053,2245.0,1500.0,0.0,1500.0,1139.0,65.0,14.0,323.0,214.0,91.0,41.0,17.0,6.0,819629,169738,177888,125426,121729,134908,89939,124135,126363,121938,126430,123270,100336,97156,203347,445201,11680,"37.5062728314113, 127.03785426242342",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
2021,2,2110966,6,67124.42673992674,69557.44871794872,73124.14835164836,65066.994505494506,133962.23076923078,119319.04212454212,2864.0,1577.0,0.0,1577.0,1637.0,60.0,12.0,139.0,216.0,69.0,132.0,116.0,158.0,1840626,304708,373109,313711,315100,354280,179718,281990,291744,279112,293735,287492,218370,188184,203355,446590,11680,"37.51878774810336, 127.03795107793988",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
2021,2,2110967,9,245019.514041514,200070.31257631257,204640.10866910865,199869.5555555556,329340.3650793651,364314.71306471305,1279.0,864.0,0.0,864.0,377.0,33.0,3.0,211.0,83.0,61.0,9.0,4.0,22.0,601158,128854,132228,93750,88416,95506,62403,93072,94239,90234,94809,91647,69344,67813,203382,444993,11680,"37.50439861327024, 127.03824915298691",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
2021,2,2110971,9,337266.8376068376,255508.0402930403,297377.6434676435,315109.9609279609,567309.4761904762,501156.56898656895,3870.0,2549.0,0.0,2549.0,1542.0,131.0,34.0,725.0,636.0,125.0,68.0,27.0,48.0,816442,210739,180567,110823,105900,118168,90244,121970,123596,120214,123980,121760,104030,100890,203768,445306,11680,"37.507217264689004, 127.04261627038929",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
2021,2,2110972,3,31504.94139194139,71542.96336996337,115942.52747252748,144929.12454212454,264507.1538461539,277100.7985347985,1921.0,1003.0,0.0,1003.0,2628.0,55.0,0.0,223.0,122.0,169.0,90.0,16.0,4.0,267119,74012,61980,35375,31753,34176,29822,39891,39804,39262,39959,38946,34453,34803,203786,443905,11680,"37.494594100718025, 127.04281264335714",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
2021,2,2110974,6,104060.8956043956,120569.02564102564,148190.29487179487,105901.15201465202,197408.2692307692,193090.02747252744,1513.0,796.0,0.0,796.0,292.0,58.0,4.0,186.0,161.0,60.0,23.0,20.0,88.0,764378,206952,166336,95400,92711,113494,89484,111987,113423,109951,113319,111013,102942,101743,203957,446014,11680,"37.51359558431378, 127.04475767819501",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
2021,2,2110975,7,69780.1601255887,308468.81632653065,226575.56671899528,275967.6530612245,452318.4850863422,335298.6059654631,890.0,353.0,0.0,353.0,10837.0,25.0,1.0,20.0,49.0,10.0,9.0,19.0,142.0,301729,55365,65776,45538,44215,58350,32487,44205,43851,42706,44500,44394,40808,41263,203995,443091,11680,"37.48725902172483, 127.04517162847172",2541.0,38938.0,19256.0,20912.0,32260.0,14094.0,6707.0,642046.0,208474.0,248160.0,586484.0,145242.0,2,1
