연도,분기,상권_코드,점포수,시간대_00~06_매출_금액_평균,시간대_06~11_매출_금액_평균,시간대_11~14_매출_금액_평균,시간대_14~17_매출_금액_평균,시간대_17~21_매출_금액_평균,시간대_21~24_매출_금액_평균,총 상주인구 수,총 가구 수,아파트 가구 수,비아파트 가구 수,총_직장인구_수,아파트_단지_수,아파트_가격_1_억_미만_세대_수,아파트_가격_1_억_세대_수,아파트_가격_2_억_세대_수,아파트_가격_3_억_세대_수,아파트_가격_4_억_세대_수,아파트_가격_5_억_세대_수,아파트_가격_6_억_이상_세대_수,총_생활인구_수,시간대_1_생활인구_수,시간대_2_생활인구_수,시간대_3_생활인구_수,시간대_4_생활인구_수,시간대_5_생활인구_수,시간대_6_생활인구_수,월요일_생활인구_수,화요일_생활인구_수,수요일_생활인구_수,목요일_생활인구_수,금요일_생활인구_수,토요일_생활인구_수,일요일_생활인구_수,엑스좌표_값,와이좌표_값,시군구_코드,폴리곤_좌표,상권_중앙위경도_값,00~06시_지하철,06~11시_지하철,11~14시_지하철,14~17시_지하철,17~21시_지하철,21~24시_지하철,00~06시_버스,06~11시_버스,11~14시_버스,14~17시_버스,17~21시_버스,21~24시_버스,포함된_버정_수,포함된_역_수
2020,4,2110976,6,41973.465579710144,114917.52173913045,82725.93115942029,81877.29347826086,188577.50724637683,123889.77355072464,2022.0,1080.0,0.0,1080.0,578.0,56.0,0.0,63.0,179.0,110.0,70.0,55.0,51.0,777475,160778,160777,119508,114989,135400,86024,111967,117304,118093,113911,112731,106346,97123,204029,446915,11680,"POLYGON ((204092.6716 447056.1207, 204104.7026 447049.8389, 204113.6864 447059.183, 204138.5564 447046.0265, 204132.6246 447034.9915, 204136.6141 447008.209799999, 204156.162 446999.528200001, 204167.323 446994.5714, 204200.255 446979.945, 204179.2699 446932.652100001, 204168.8487 446909.1677, 204162.7752 446895.48090000096, 204161.3094 446892.1774, 204164.5019 446890.84139999904, 204178.2989 446884.185699999, 204164.7524 446854.4048, 204163.4292 446850.65399999905, 204146.2394 446858.2152, 204129.2042 446819.825200001, 204115.7867 446789.587200001, 204105.85080000001 446787.3476, 204096.114 446835.22770000104, 204085.1643 446840.3244, 204060.7995 446833.998, 204053.4187 446867.3309, 204034.9338 446950.810699999, 203993.2762 446958.78879999905, 203977.2756 446883.470899999, 203975.3645 446874.475299999, 203965.3697 446827.4296, 203964.2145 446821.9915, 203952.8584 446768.5348, 203947.4958 446743.291999999, 203859.7863 446762.9323, 203865.1917 446788.315199999, 203876.5265 446841.53790000104, 203887.506 446893.09170000104, 203906.348 446981.5667, 203941.0741 446974.4422, 203973.1485 446967.7205, 203987.0969 447033.7752, 203992.1986 447043.380200001, 203987.9092 447071.3709, 204027.6298 447077.580499999, 204087.5092 447086.941400001, 204092.6716 447056.1207))","37.52171331120836, 127.04557700798111",,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0,0
2020,4,2110977,9,45344.25362318841,68551.82487922706,61333.3538647343,62613.090579710144,125054.87439613526,86171.14613526569,691.0,340.0,0.0,340.0,148.0,16.0,2.0,30.0,56.0,25.0,6.0,0.0,0.0,118841,23731,24304,18023,17734,21423,13627,18066,18121,18206,17668,17359,15012,14411,204149,441990,11680,"POLYGON ((204179.0836 441930.24090000096, 204153.4722 441909.03869999904, 204045.795 442038.899900001, 204082.3376 442047.011299999, 204115.4632 442054.36480000097, 204148.4048 442061.6763, 204185.7193 442069.959799999, 204250.7731 441989.5886, 204225.2207 441968.4353, 204202.0482 441949.252, 204179.0836 441930.24090000096))","37.477338239228565, 127.04690671040551",,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0,0
2020,4,2110980,3,48525.01449275362,83640.22101449275,60241.52536231884,68410.82246376811,164633.23913043478,114403.68115942027,2629.0,1125.0,0.0,1125.0,663.0,77.0,9.0,153.0,231.0,220.0,22.0,12.0,54.0,574371,157609,118670,69792,69723,87657,70916,86509,84979,85234,83833,81749,75698,76370,204264,442377,11680,"POLYGON ((204319.7927 442350.318800001, 204329.82 442327.4431, 204347.0719 442328.7883, 204411.3171 442282.90080000105, 204418.4042 442276.935900001, 204445.3045 442241.784600001, 204461.8371 442230.9946, 204478.6685 442220.009500001, 204483.8987 442210.96749999904, 204473.0439 442205.3533, 204460.34 442198.791200001, 204448.7783 442194.134099999, 204432.0874 442187.41389999905, 204429.2625 442186.2588, 204408.91330000001 442214.5693, 204348.7802 442206.84290000104, 204302.6092 442200.910599999, 204266.8737 442196.3191, 204266.5607 442196.277100001, 204152.6718 442180.9114, 204152.6717 442185.8793, 204158.7061 442221.8091, 204165.6414 442263.107899999, 204117.076 442252.045299999, 204091.4143 442246.199899999, 204053.2287 442237.5014, 204044.367 442276.80100000097, 204044.2977 442277.1085, 204040.2959 442294.855699999, 204074.1021 442323.66589999903, 204132.2832 442353.5548, 204131.6553 442359.97880000103, 204109.1717 442401.753000001, 204082.8911 442450.5825, 204080.3291 442455.7872, 204094.5932 442465.614499999, 204198.6508 442537.305400001, 204219.2588 442551.5031, 204239.5324 442565.4707, 204241.7534 442567.0009, 204252.3323 442574.8871, 204284.3952 442531.9178, 204342.9369 442453.462200001, 204314.2477 442412.7162, 204309.2602 442388.818299999, 204308.9813 442380.9323, 204308.9793 442380.8803, 204310.7729 442375.8112, 204319.7007 442350.5788, 204319.7927 442350.318800001))","37.4808246207884, 127.04820908778728",,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0,0
2020,4,2110981,9,122142.39492753624,192115.50724637683,149305.7041062802,149808.49154589372,302034.8888888889,208978.88647343,2118.0,907.0,0.0,907.0,361.0,55.0,14.0,127.0,219.0,196.0,12.0,12.0,0.0,462054,108501,90768,61166,59555,82574,59492,67833,67430,67551,66882,66133,63498,62726,204328,441787,11680,"POLYGON ((204374.6361 441640.827299999, 204320.90350000001 441596.3201, 204309.4585 441610.159800001, 204293.028 441630.01940000104, 204291.1969 441632.2282, 204312.9201 441650.1593, 204243.6192 441733.4813, 204227.8741 441752.41200000106, 204212.8187 441770.6415, 204147.7492 441849.42909999896, 204180.2595 441876.192299999, 204212.9388 441903.0946, 204246.3631 441930.6099, 204277.65840000001 441956.373299999, 204315.2116 441987.28759999905, 204378.9304 441910.076199999, 204395.0447 441890.5496, 204409.6428 441872.861, 204433.083 441844.45560000103, 204460.1033 441811.713300001, 204504.7973 441757.55529999896, 204509.1668 441752.260600001, 204449.8444 441703.123199999, 204408.7431 441669.078500001, 204374.6361 441640.827299999))","37.47550836944001, 127.04892921001091",,,,,,,610.0,22435.0,9837.0,14084.0,20671.0,5874.0,4,0
2020,4,2110982,3,48383.57246376812,44797.061594202896,65572.5036231884,76677.34782608696,146013.1268115942,106583.38405797102,827.0,406.0,0.0,406.0,166.0,22.0,4.0,104.0,61.0,21.0,6.0,7.0,3.0,207897,56512,44723,25119,25118,31458,24968,29732,29396,29384,29213,29575,29883,30715,204400,446173,11680,"POLYGON ((204397.5877 446092.421399999, 204364.1472 446079.894099999, 204357.2512 446098.358200001, 204344.6979 446131.9696, 204324.10080000001 446187.1186, 204311.7354 446220.227, 204370.8016 446242.0066, 204375.2635 446243.65190000104, 204436.7776 446266.333699999, 204448.9191 446233.0922, 204463.0593 446194.377599999, 204469.2213 446177.5068, 204488.2305 446125.4617, 204457.6379 446114.464199999, 204427.7513 446103.720799999, 204397.5877 446092.421399999))","37.515026175047964, 127.04976940660319",,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0,0
2020,4,2110983,3,162883.8079710145,614904.0760869565,643709.6014492754,633462.0869565217,1242315.108695652,707284.4202898551,2703.0,1231.0,0.0,1231.0,783.0,66.0,10.0,167.0,234.0,131.0,48.0,11.0,10.0,447422,130659,93176,50420,49511,66412,57246,64545,64137,65306,64054,63656,62151,63575,204436,442033,11680,"POLYGON ((204509.9034 441908.259400001, 204433.083 441844.45560000103, 204409.6428 441872.861, 204395.0447 441890.5496, 204378.9304 441910.076199999, 204414.4386 441939.354499999, 204386.9923 441972.550899999, 204329.03 442042.65650000103, 204258.1248 442128.4165, 204302.3764 442134.4882, 204347.5299 442140.207900001, 204394.6755 442146.5535, 204437.323 442152.294199999, 204478.8565 442157.8848, 204478.8766 442157.900900001, 204506.4869 442181.2161, 204488.6997 442202.6667, 204483.8987 442210.96749999904, 204489.1526 442213.6976, 204496.7774 442218.6657, 204501.5064 442221.773700001, 204563.6216 442177.3551, 204613.1989 442127.22629999905, 204583.6778 442088.1251, 204561.2255 442058.442, 204539.2022 442029.324899999, 204506.0177 442012.10040000104, 204473.9483 441988.4222, 204482.3737 441962.7214, 204497.3109 441941.618899999, 204537.1677 441930.9046, 204509.9034 441908.259400001))","37.47772434054866, 127.05015165991955",,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0,0
